company,status,zip,reason,birth,death,jurisdiction,jurisdictionType,lat,lng
OILSHARES INCORPORATED,ACTIVE,10038,NA,04/05/1928,NA,DELAWARE,domestic,40.7071498,-74.0021019
PAUL H. PETERSEN INC.,ACTIVE,10170,NA,03/29/1928,NA,DELAWARE,domestic,40.7525629,-73.976024
FRANCIS L. WILLIAMS CONTRACTING CORP.,ACTIVE,10006,NA,04/14/1928,NA,NEW JERSEY,domestic,40.7092955,-74.01457599999999
THE BARROW CORPORATION,ACTIVE,10038,NA,04/17/1928,NA,VIRGINIA,domestic,40.708251,-74.0005858
NEW YORK TEACHERS COLONY CLUB,ACTIVE,10017,NA,04/17/1928,NA,MAINE,domestic,40.7524744,-73.9811864
NATIONAL MUSIC LEAGUE INC.,ACTIVE,10019,NA,04/18/1928,NA,DELAWARE,domestic,40.7646776,-73.9779874
GENERAL SILK CORPORATION,ACTIVE,10016,NA,04/19/1928,NA,DELAWARE,domestic,40.7463337,-73.9824637
CHRIS-CRAFT INDUSTRIES INC.,INACTIVE,10011,TERMINATION,04/24/1928,10/10/2001,DELAWARE,domestic,40.7409573,-74.0021187
E. S. HALSTED & CO. INC.,ACTIVE,10004,NA,04/26/1928,NA,NEW JERSEY,domestic,40.7035708,-74.0109714
BARTON SALES CORPORATION,ACTIVE,10013,NA,04/30/1928,NA,MISSOURI,domestic,40.7218206,-74.0001738
CLINTON ASPHALT ROAD OILING COMPANY,ACTIVE,10036,NA,04/30/1928,NA,NEW JERSEY,domestic,40.7564451,-73.9858668
BULLARD-DAVIS INCORPORATED,ACTIVE,10005,NA,05/02/1928,NA,DELAWARE,domestic,40.7054723,-74.00846779999999
SPEAKEOPHONE INCORPORATED,ACTIVE,10036,NA,04/23/1928,NA,DELAWARE,domestic,40.756361,-73.981112
CO-INVESTORS CORPORATION,ACTIVE,10004,NA,04/24/1928,NA,DELAWARE,domestic,40.7060887,-74.0111372
RAYTHEON ENGINEERS & CONSTRUCTORS INC.,INACTIVE,10011,TERMINATION,05/08/1928,12/26/2000,DELAWARE,domestic,40.738881,-73.9951013
MERLIN PRODUCTS CORPORATION,ACTIVE,10177,NA,05/09/1928,NA,DELAWARE,domestic,40.7551855,-73.9758933
SUBOCEAN SALVAGE CORPORATION,ACTIVE,11357,NA,05/05/1928,NA,DELAWARE,domestic,40.78234,-73.81559299999999
LEONARD-RUNKLE & CO. INC.,ACTIVE,10005,NA,05/10/1928,NA,DELAWARE,domestic,40.7065524,-74.0101174
SENTON SILK CORPORATION,ACTIVE,10016,NA,05/11/1928,NA,NEW JERSEY,domestic,40.747017,-73.98377099999999
E. M. BURKE & ASSOCIATES INC.,ACTIVE,10170,NA,05/11/1928,NA,ILLINOIS,domestic,40.7525629,-73.976024
UNITED MOLASSES COMPANY OF AMERICA INCORPORATED,ACTIVE,10005,NA,05/14/1928,NA,DELAWARE,domestic,40.7060661,-74.0091913
THEATRE FACTORS INC.,ACTIVE,10036,NA,05/14/1928,NA,DELAWARE,domestic,40.7569065,-73.9787253
THE VIBRODENT CORPORATION OF AMERICA,ACTIVE,10021,NA,05/15/1928,NA,DELAWARE,domestic,40.76506089999999,-73.9670837
REPUBLIC CAPITAL SERVICE CORPORATION,ACTIVE,10038,NA,05/19/1928,NA,DELAWARE,domestic,40.7071498,-74.0021019
THE RUMIDOR CORPORATION,ACTIVE,10017,NA,05/23/1928,NA,NEW JERSEY,domestic,40.75315820000001,-73.98079430000001
M. ROTBERG INC.,ACTIVE,10001,NA,05/25/1928,NA,NEW JERSEY,domestic,40.74646630000001,-73.993965
CRESCENT AIRCRAFT CORPORATION,ACTIVE,10007,NA,05/21/1928,NA,NEW JERSEY,domestic,40.7139317,-74.0067728
THE MONOMELT COMPANY,ACTIVE,10038,NA,05/28/1928,NA,MINNESOTA,domestic,40.7124734,-74.0026742
NORWOOD PHARMACEUTICAL COMPANY INC.,ACTIVE,10176,NA,05/28/1928,NA,NEW JERSEY,domestic,40.755353,-73.9788518
PURPLE COW SANDWICH SHOPPE INC.,ACTIVE,10023,NA,05/31/1928,NA,DELAWARE,domestic,40.777392,-73.979507
PRIZE STORY PUBLISHERS INC.,ACTIVE,10023,NA,05/22/1928,NA,DELAWARE,domestic,40.7689589,-73.98266679999999
E. R. CALVERT CORPORATION,ACTIVE,10017,NA,06/07/1928,NA,NEW JERSEY,domestic,40.7559946,-73.9785
GREEN LIGHT CLUB,ACTIVE,10110,NA,06/08/1928,NA,NEW JERSEY,domestic,40.7539609,-73.9810495
RUNSYNE CORPORATION,ACTIVE,10019,NA,06/11/1928,NA,DELAWARE,domestic,40.7642999,-73.9836013
TIDEWATER ROLLING MILLS INCORPORATED,ACTIVE,10006,NA,06/11/1928,NA,DELAWARE,domestic,40.7092955,-74.01457599999999
AUTOPOSE INC.,ACTIVE,10036,NA,06/04/1928,NA,DELAWARE,domestic,40.7549127,-73.98168840000001
THE CUBAN SECURITY CORPORATION,ACTIVE,10038,NA,06/11/1928,NA,DELAWARE,domestic,40.7093102,-74.01023599999999
ARTHUR E. CLAUS & COMPANY INC.,ACTIVE,10007,NA,06/14/1928,NA,DELAWARE,domestic,40.7107327,-74.0109679
HENRY R. HEITMAN INC.,ACTIVE,10016,NA,06/15/1928,NA,NEW JERSEY,domestic,40.7443105,-73.9852588
RECOVERY SERVICES INTERNATIONAL INC.,ACTIVE,10011,NA,06/12/1928,NA,DELAWARE,domestic,40.7409573,-74.0021187
EVERGOOD DRESS CO. INC.,ACTIVE,10018,NA,06/20/1928,NA,NEW JERSEY,domestic,40.7551382,-73.9923058
EDWARDS TRADING COMPANY INC.,ACTIVE,10038,NA,06/21/1928,NA,DELAWARE,domestic,40.7071207,-74.0082109
EAGLE MOTOR COMPANY,ACTIVE,10006,NA,06/25/1928,NA,DELAWARE,domestic,40.7090422,-74.0106759
SMITH & ANDERSON INC.,ACTIVE,10038,NA,06/22/1928,NA,DELAWARE,domestic,40.7073421,-74.0024549
UNITED COSMETIC SHOPS INC.,ACTIVE,10012,NA,06/27/1928,NA,DELAWARE,domestic,40.7239514,-73.9964444
OIL ROYALITY SHARES CORPORATION,ACTIVE,10007,NA,06/28/1928,NA,DELAWARE,domestic,40.7136487,-74.0087126
GEM PACKS INC.,ACTIVE,10017,NA,06/22/1928,NA,DELAWARE,domestic,40.7534824,-73.9800784
LANDY TOWEL & LINEN SERVICE INC. OF READING PA.,ACTIVE,10016,NA,06/30/1928,NA,PENNSYLVANIA,domestic,40.745294,-73.986435
HAINES SPENCER & CHANCELLOR INC.,ACTIVE,10005,NA,07/03/1928,NA,DELAWARE,domestic,40.7057533,-74.00998369999999
THE FINCKE CEMENT PROCESS COMPANY INC.,ACTIVE,10025,NA,07/03/1928,NA,DELAWARE,domestic,40.7987853,-73.96742309999999
VENEZUELA SPECULATIONS INC.,ACTIVE,10019,NA,07/06/1928,NA,DELAWARE,domestic,40.766613,-73.9821351
THE CABLE CORPORATION,ACTIVE,10012,NA,07/06/1928,NA,MASSACHUSETTS,domestic,40.7271921,-73.99528409999999
NEWFOUNDLAND MINING AND DEVELOPMENT CO.,ACTIVE,10038,NA,07/07/1928,NA,DELAWARE,domestic,40.7115866,-74.0066803
MASLAND MANUFACTURING CORPORATION,ACTIVE,10038,NA,07/12/1928,NA,DELAWARE,domestic,40.7071498,-74.0021019
AMERICAN FRUIT DISTRIBUTORSINC.,ACTIVE,10006,NA,07/13/1928,NA,DELAWARE,domestic,40.708882,-74.01143259999999
AMERO CONSTRUCTION COMPANY,ACTIVE,10007,NA,07/03/1928,NA,PENNSYLVANIA,domestic,40.7138631,-74.00530020000001
JARDEN BRICK COMPANY,ACTIVE,10012,NA,07/16/1895,NA,PENNSYLVANIA,domestic,40.7258743,-73.9964087
J. & J. CASH LIMITED,ACTIVE,10012,NA,07/17/1895,NA,GABON,international,40.7240212,-73.9998573
MCNEAL PIPE AND FOUNDRY COMPANY,ACTIVE,10005,NA,07/05/1893,NA,NEW JERSEY,domestic,40.706152,-74.00906189999999
INTERNATIONAL RAILWAY CONSTRUCTION COMPANY,ACTIVE,10005,NA,07/23/1895,NA,NEW JERSEY,domestic,40.7067305,-74.01010629999999
THE ELECTRIC NEWS AND MONEY TRANSFER COMPANY,ACTIVE,10017,NA,07/31/1895,NA,NEW JERSEY,domestic,40.7517975,-73.97899799999999
THE PERKINS ELECTRIC SWITCH MANUFACTURING COMPANY,ACTIVE,10007,NA,08/01/1895,NA,CONNECTICUT,domestic,40.7103735,-74.01112350000001
THE HAMMERSCHLAG MANUFACTURING COMPANY,ACTIVE,10007,NA,08/16/1895,NA,NEW JERSEY,domestic,40.7140324,-74.0116377
THE TINKHAM CYCLE COMPANY,ACTIVE,10022,NA,08/29/1895,NA,NEW JERSEY,domestic,40.7601843,-73.963881
THE VULCAN GAS HEATING COMPANY,ACTIVE,10005,NA,08/30/1895,NA,NEW JERSEY,domestic,40.7063533,-74.0099619
SHOOTING AND FISHING PUBLISHING COMPANY,ACTIVE,10038,NA,09/19/1895,NA,MAINE,domestic,40.7112942,-74.0062184
MANHATTAN INCANDESCENT LIGHT COMPANY,ACTIVE,10010,NA,09/19/1895,NA,NEW JERSEY,domestic,42.4508731,-78.9288882
THE ELSAS PAPER COMPANY,ACTIVE,10025,NA,09/23/1895,NA,NEW JERSEY,domestic,40.7928832,-73.9690801
KOENIGES & CO.,ACTIVE,10001,NA,09/23/1895,NA,NEW JERSEY,domestic,40.75583,-74.0000684
THE SEAMLESS STRUCTURAL TUBE COMPANY,ACTIVE,10007,NA,09/26/1895,NA,NEW JERSEY,domestic,40.71477300000001,-74.00491000000001
EDWIN ASHDOWN LIMITED,ACTIVE,10003,NA,10/01/1895,NA,,domestic,40.7357597,-73.9930438
MERRILL & BAKER,ACTIVE,10011,NA,10/09/1895,NA,NEW JERSEY,domestic,40.7357314,-73.9942471
THE READING BRAID COMPANY,ACTIVE,10013,NA,10/08/1895,NA,,domestic,40.7181547,-74.0068343
BEE-HIVE-COKE-OVEN BY-PRODUCTS COMPANY,ACTIVE,10005,NA,10/10/1895,NA,NEW JERSEY,domestic,40.7074848,-74.0098933
THE NEW YORK INVESTMENT AND IMPROVEMENT COMPANY,ACTIVE,10005,NA,10/18/1895,NA,NEW JERSEY,domestic,40.7091632,-74.01051749999999
THE NATIONAL FERROTYPE MACHINE COMPANY,ACTIVE,10004,NA,10/23/1895,NA,NEW JERSEY,domestic,40.70551589999999,-74.01237569999999
THE WALTON-TINKHAM MANUFACTURING COMPANY,ACTIVE,10022,NA,10/24/1895,NA,NEW JERSEY,domestic,40.7601193,-73.96379379999999
DIAGRAPH COMPANY,ACTIVE,10038,NA,10/30/1895,NA,PENNSYLVANIA,domestic,40.7093625,-74.00998369999999
SEE AND THEIS MARBLE COMPANY,ACTIVE,10010,NA,07/11/1895,NA,ARIZONA,domestic,40.7411565,-73.986901
THE SANSOM PEARL WORKS,ACTIVE,10005,NA,11/13/1895,NA,NEW JERSEY,domestic,40.7074848,-74.0098933
THE PNEUMATIC FIRE ALARM TELEGRAPH CO. OF NEW YORK,ACTIVE,10005,NA,11/20/1895,NA,NEW JERSEY,domestic,40.7074848,-74.0098933
PROBST CONSTRUCTION COMPANY OF CHICAGO ILLINOIS,ACTIVE,10010,NA,11/22/1895,NA,ILLINOIS,domestic,40.7402786,-73.9910838
BROWNELL & LOCKWOOD CYCLE CO.,ACTIVE,11216,NA,11/25/1895,NA,NEW JERSEY,domestic,40.6803589,-73.9494701
WM. J. FARR & SONS INC.,ACTIVE,10001,NA,07/17/1928,NA,NEW JERSEY,domestic,40.754465,-74.0008822
UNITED GREIGE GOODS CORORATION,ACTIVE,10012,NA,07/18/1928,NA,DELAWARE,domestic,40.721861,-73.9995089
CHROMEPLATE INC.,ACTIVE,10036,NA,07/18/1928,NA,NEW JERSEY,domestic,40.7627279,-73.9973777
THE VELVET TONE RECORD COMPANY,ACTIVE,10023,NA,07/18/1928,NA,CONNECTICUT,domestic,40.76859839999999,-73.9822121
W U WORLD COMMUNICATIONS INC.,INACTIVE,10007,MERGED OUT,07/13/1928,04/21/1989,DELAWARE,domestic,40.7136487,-74.0087126
FISCAL AGENTS SYNDICATE INCORPORATED,ACTIVE,10036,NA,07/18/1928,NA,CONNECTICUT,domestic,40.7602619,-73.9932872
NATIONAL FOUNDERS FINANCIAL CORPORATION,ACTIVE,10170,NA,07/19/1928,NA,DELAWARE,domestic,40.7525629,-73.976024
STANDARD ROCK ASPHALT CORPORATION,ACTIVE,10005,NA,07/23/1928,NA,DELAWARE,domestic,40.708928,-74.009044
LOUIS COEN WIRELESS------PROPRIETARY LIMITED,ACTIVE,10011,NA,07/24/1928,NA,AUSTRALIA,international,40.740266,-73.9986574
MCCRACKEN PIPE & MACHINERY CORPORATION,ACTIVE,10004,NA,07/28/1928,NA,DELAWARE,domestic,40.7056605,-74.0117624
CEDAR LINE PRODUCTS CORPORATION,ACTIVE,10026,NA,07/30/1928,NA,DELAWARE,domestic,40.8031831,-73.95244319999999
OCONNOR TRANSATLANTIC AIRWAYS INC.,ACTIVE,10038,NA,07/31/1928,NA,DELAWARE,domestic,40.71018,-74.009135
GENERAL COMPOUNDING CORPORATION,ACTIVE,11206,NA,08/01/1928,NA,DELAWARE,domestic,40.7047738,-73.9418603
THE R. NEUMANN HARDWARE COMPANY,ACTIVE,10016,NA,08/03/1928,NA,NEW JERSEY,domestic,40.7476755,-73.9834336
JOHN MEHL & CO. INC.,ACTIVE,10016,NA,08/03/1928,NA,NEW JERSEY,domestic,40.7479902,-73.9844837
THE JULIAN & KOKENGE COMPANY,ACTIVE,10175,NA,08/03/1928,NA,OHIO,domestic,40.7542123,-73.9800242
THE GLOBE WERNICKE REALTY COMPANY,INACTIVE,10166,SURRENDER OF AUTHORITY,08/04/1928,10/13/1983,OHIO,domestic,40.7535209,-73.97656909999999
VITA-VAR CORPORATION,ACTIVE,10017,NA,08/04/1928,NA,NEW JERSEY,domestic,40.7531627,-73.9786615
VICTOR STOCK TRADING CORPORATION,ACTIVE,10036,NA,07/26/1928,NA,DELAWARE,domestic,40.7556518,-73.98607369999999
B. L. MCFADDEN INC.,ACTIVE,10023,NA,07/27/1928,NA,DELAWARE,domestic,40.7697284,-73.98187109999999
CORPORATE PRACTICE PUBLISHING CO. INC.,INACTIVE,10036,TERMINATION,08/07/1928,11/10/1982,DELAWARE,domestic,40.7541476,-73.9818586
HI-TY PRODUCTS CORPORATION,ACTIVE,10122,NA,08/07/1928,NA,DELAWARE,domestic,40.7517974,-73.99169300000001
STONE & WEBSTER ENGINEERING CORPORATION,ACTIVE,10011,NA,08/04/1928,NA,MASSACHUSETTS,domestic,40.7409573,-74.0021187
LGE (OLD CO.) INC.,INACTIVE,10011,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,08/13/1928,10/28/2009,MASSACHUSETTS,domestic,40.7409573,-74.0021187
MASSEY-FERGUSON INC.,INACTIVE,10019,TERMINATION,08/17/1928,09/20/1996,MARYLAND,domestic,40.761923,-73.9843202
IMPERIAL ROYALITIES COMPANY,ACTIVE,10038,NA,08/17/1928,NA,DELAWARE,domestic,40.7093102,-74.01023599999999
NEW EAGLE CLEANING AND DYEING COMPANY,ACTIVE,10107,NA,08/15/1928,NA,NEW JERSEY,domestic,40.7662723,-73.9823998
THE HERBERT KENNEDY COMPANY INC.,ACTIVE,10168,NA,08/18/1928,NA,NEW JERSEY,domestic,40.7512908,-73.97651069999999
SONORA CONSOLIDATED METALS COMPANY,ACTIVE,10038,NA,08/18/1928,NA,DELAWARE,domestic,40.7096242,-74.0098678
JOSEPH MIELE CONSTRUCTION CO. INC.,ACTIVE,10036,NA,08/15/1928,NA,NEW JERSEY,domestic,40.7602619,-73.9932872
FOX-NEW ENGLAND THEATRES INC.,ACTIVE,10019,NA,08/21/1928,NA,DELAWARE,domestic,40.7678733,-73.988931
TILAREM INC.,ACTIVE,10007,NA,08/22/1928,NA,NEW JERSEY,domestic,40.714557,-74.0085553
E. PAUL HAMILTON & ASSOCIATES INC.,ACTIVE,10036,NA,08/22/1928,NA,NEW JERSEY,domestic,40.7541476,-73.9818586
THE PENNSYLVANIA FIRST NATIONAL CORPORATION,ACTIVE,10170,NA,08/22/1928,NA,DELAWARE,domestic,40.7525463,-73.97564249999999
PERPETUAL SELF WINDING WATCH COMPANY OF AMERICA INC.,ACTIVE,10036,NA,08/23/1928,NA,DELAWARE,domestic,40.758195,-73.98087799999999
EL FAY CAB MANUFACTURING CORPORATION,ACTIVE,10019,NA,08/23/1928,NA,DELAWARE,domestic,40.766613,-73.9821351
THE PAXALL GROUP INC.,INACTIVE,10019,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,08/16/1928,12/27/1995,DELAWARE,domestic,40.761923,-73.9843202
NEU-FLAME CORPORATION OF THE UNITED STATES,ACTIVE,10007,NA,08/16/1928,NA,DELAWARE,domestic,40.7113424,-74.0105774
REED-COOK INCORPORATED,ACTIVE,10016,NA,09/06/1928,NA,NEW JERSEY,domestic,40.7489289,-73.9828063
PLANTERS PACKING CORPORATION,ACTIVE,10036,NA,09/06/1928,NA,DELAWARE,domestic,40.7569065,-73.9787253
LELAND & WAIT TRENDELL INC.,ACTIVE,10017,NA,08/25/1928,NA,FRANCE,international,40.7564613,-73.9761071
LONGS FIXTURES CORPORATION,ACTIVE,10003,NA,09/07/1928,NA,NEW JERSEY,domestic,40.7300821,-73.991626
CRASON ELECTRICAL SUPPLY COMPANY INC.,ACTIVE,10020,NA,09/08/1928,NA,NEW JERSEY,domestic,40.7600191,-73.9826324
WALL STREET GLOBE PUBLISHING CORPORATION,ACTIVE,10004,NA,09/10/1928,NA,DELAWARE,domestic,40.7060887,-74.0111372
LOUIS VALENTINI CO. INC.,ACTIVE,10018,NA,08/28/1928,NA,NEW JERSEY,domestic,40.7565033,-73.9920042
GRANT FREMONT INC.,ACTIVE,10006,NA,09/14/1928,NA,NEVADA,domestic,40.7095523,-74.0109418
FEDERATED DENTAL PRODUCTS INC.,ACTIVE,10170,NA,09/19/1928,NA,DELAWARE,domestic,40.7525463,-73.97564249999999
MEDICAL SPECIALTIES MANUFACTURING CORPORATION,ACTIVE,10024,NA,09/18/1928,NA,ILLINOIS,domestic,40.784838,-73.970974
FORBES PATENTS CORPORATION,ACTIVE,10036,NA,09/20/1928,NA,DELAWARE,domestic,40.7549127,-73.98168840000001
THE FISCHER SOAP SALES INCORPORATED,ACTIVE,10035,NA,09/21/1928,NA,OHIO,domestic,40.8065532,-73.94213719999999
ALBERT PICK & COMPANY,ACTIVE,10003,NA,09/22/1928,NA,ILLINOIS,domestic,40.7322535,-73.9874105
SLOVAK MANOR HOMESITE BUILDING ASSOCIATION,ACTIVE,10036,NA,09/22/1928,NA,DELAWARE,domestic,40.7602619,-73.9932872
GRIGGS COLLATERAL CORPORATION,ACTIVE,10038,NA,09/24/1928,NA,DELAWARE,domestic,40.7096242,-74.0098678
NATIONAL TIRE AND RUBBER CO.,ACTIVE,10170,NA,09/24/1928,NA,OHIO,domestic,40.7525463,-73.97564249999999
SOUND PICTURES INC.,ACTIVE,10018,NA,09/25/1928,NA,DELAWARE,domestic,40.7542815,-73.9869422
PHOEBE SNOW CLEANERS & DYERS CORPORATION,ACTIVE,10025,NA,09/28/1928,NA,DELAWARE,domestic,40.7965784,-73.9700184
GROTTOES SILK MILLS INCORPORATED,ACTIVE,10016,NA,10/01/1928,NA,VIRGINIA,domestic,40.74720019999999,-73.9831712
J.F. FITZGERALD CONSTRUCTION COMPANY,INACTIVE,10036,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,10/01/1928,03/25/1981,MASSACHUSETTS,domestic,40.7547035,-73.9837325
TALKIEFILM CORPORATION OF AMERICA,ACTIVE,10019,NA,10/03/1928,NA,DELAWARE,domestic,40.7649645,-73.9780856
MARAD HOLDING CORPORATION,ACTIVE,10010,NA,10/05/1928,NA,DELAWARE,domestic,40.7388319,-73.98153370000001
NATIONAL BANCORPORATION OF AMERICA,ACTIVE,10036,NA,10/05/1928,NA,MARYLAND,domestic,40.7541476,-73.9818586
SHERWOOD PRODUCTS INC.,ACTIVE,10018,NA,10/05/1928,NA,DELAWARE,domestic,40.7547989,-73.9891923
CRYSTAL LAKE OF THE CATSKILL INC.,ACTIVE,11216,NA,10/06/1928,NA,DELAWARE,domestic,40.6764129,-73.951798
JEAN STUART COSMETICS INCORPORATED,ACTIVE,10017,NA,10/08/1928,NA,CONNECTICUT,domestic,40.7549469,-73.9795346
CHAS. L. READ & CO. INC.,ACTIVE,10006,NA,09/27/1928,NA,NEW JERSEY,domestic,40.7099815,-74.0144728
THE CLOPIN SALES CORPORATION,ACTIVE,10021,NA,09/28/1928,NA,DELAWARE,domestic,40.76896,-73.968047
PRESSED STEEL STOVE CORPORATION,ACTIVE,10011,NA,10/16/1928,NA,DELAWARE,domestic,40.7347968,-73.9987977
HURT BUILDING CORPORATION,ACTIVE,10017,NA,10/16/1928,NA,GEORGIA,international,40.7541977,-73.97724670000001
SANITARY AND HEATING PUBLISHING CORPORATION,ACTIVE,10018,NA,10/16/1928,NA,DELAWARE,domestic,40.7548964,-73.9898697
HARRY ROGERS THEATRICAL ENTERPRISES,ACTIVE,10036,NA,10/19/1928,NA,ILLINOIS,domestic,40.759476,-73.985843
PIONEER AERO TRADES SCHOOL INC.,ACTIVE,10019,NA,10/20/1928,NA,NEW JERSEY,domestic,40.764427,-73.982631
THE FIMANIC CORPORATION,ACTIVE,10006,NA,10/09/1928,NA,DELAWARE,domestic,40.7095523,-74.0109418
IMPERIAL CHAIN THEATRES INC.,ACTIVE,10036,NA,10/11/1928,NA,PENNSYLVANIA,domestic,40.7541476,-73.9818586
GOULD INC.,INACTIVE,10019,TERMINATION,10/26/1928,02/11/1994,DELAWARE,domestic,40.761923,-73.9843202
BASIC UTILITES CORPORATION,ACTIVE,10036,NA,10/29/1928,NA,DELAWARE,domestic,40.7602619,-73.9932872
VALUMET CHOCOLATE COMPANY INC.,ACTIVE,10036,NA,11/02/1928,NA,DELAWARE,domestic,40.7541476,-73.9818586
REYNOLDS METALS COMPANY,ACTIVE,10011,NA,11/03/1928,NA,DELAWARE,domestic,40.7409573,-74.0021187
THE DIAMANTINA COMPANY INC.,ACTIVE,10004,NA,11/03/1928,NA,DELAWARE,domestic,40.7060887,-74.0111372
INVESTORS UNION INCORPORATED,ACTIVE,10005,NA,11/05/1928,NA,MARYLAND,domestic,40.7065445,-74.0108692
MCHUTCHISON & CO.,ACTIVE,10007,NA,10/25/1928,NA,NEW JERSEY,domestic,40.7152253,-74.0071897
OVER-SOLE RUBBER CORPORATION,ACTIVE,10001,NA,11/07/1928,NA,DELAWARE,domestic,40.748151,-73.989723
CREDITORS CARPET CORPORATION,ACTIVE,10016,NA,11/07/1928,NA,DELAWARE,domestic,40.746029,-73.9857059
MATHIASEN TOWING LINE INC.,ACTIVE,10004,NA,11/07/1928,NA,DELAWARE,domestic,40.7027835,-74.01217609999999
PICTURES REALIZATION CORPORATION,ACTIVE,10018,NA,11/08/1928,NA,DELAWARE,domestic,40.754585,-73.9865279
NYE-MOSHER MANUFACTURING COMPANY,ACTIVE,10001,NA,11/12/1928,NA,ILLINOIS,domestic,40.7490266,-73.9924742
WEBB DRUG CO. INC.,ACTIVE,10027,NA,11/13/1928,NA,DELAWARE,domestic,40.8119073,-73.957329
THE FREDERICK IRON & STEEL COMPANY,ACTIVE,10006,NA,11/13/1928,NA,MARYLAND,domestic,40.7099815,-74.0144728
THE HOUSE OF BYER INC.,ACTIVE,10016,NA,11/14/1928,NA,MASSACHUSETTS,domestic,40.7496435,-73.98308109999999
MORRIS PLAN SHARES CORPORATION,ACTIVE,10170,NA,11/09/1928,NA,DELAWARE,domestic,40.7525463,-73.97564249999999
KNICKERBOCKER FUNDING CORPORATION,ACTIVE,10005,NA,11/15/1928,NA,DELAWARE,domestic,40.7073852,-74.0085587
CINDERELLA APPLIANCES CORPORATION,ACTIVE,10016,NA,11/15/1928,NA,,domestic,40.7514577,-73.980451
PATTERSON-BALLAGH CORPORATION,ACTIVE,10007,NA,11/16/1928,NA,CALIFORNIA,domestic,40.7103512,-74.01114600000001
GENERAL AMERICAN INVESTORS COMPANY INC.,ACTIVE,10017-5528,NA,11/17/1928,NA,DELAWARE,domestic,40.7519846,-73.9697795
PONTIAC SILK CORP.,ACTIVE,10010,NA,11/19/1928,NA,NEW JERSEY,domestic,40.7411565,-73.986901
NATALIE ANTHRACITE COAL COMPANY,ACTIVE,10005,NA,12/16/1895,NA,PENNSYLVANIA,domestic,40.7074278,-74.0097984
BROWNLEY MANUFACTURING COMPANY,ACTIVE,10007,NA,12/17/1895,NA,NEW JERSEY,domestic,40.71547109999999,-74.00524899999999
J. H. MCEWEN MANUFACTURING COMPANY,ACTIVE,10007,NA,12/17/1895,NA,PENNSYLVANIA,domestic,40.7103735,-74.01112350000001
DEARBORN & COMPANY,ACTIVE,10005,NA,12/24/1895,NA,NEW JERSEY,domestic,40.7048183,-74.0069585
THE FIRE-PROOF CONSTRUCTION COMPANY,ACTIVE,10007,NA,12/05/1895,NA,NEW JERSEY,domestic,40.71344,-74.0074917
THE HAT CURLING MACHINE COMPANY,ACTIVE,10003,NA,01/02/1896,NA,CONNECTICUT,domestic,40.7295223,-73.9951561
THE RUBBER TIRE WHEEL COMPANY,ACTIVE,10019,NA,01/04/1896,NA,OHIO,domestic,40.7665239,-73.9811926
GALEY AND LORD MANUFACTURING COMPANY,ACTIVE,10013,NA,01/06/1896,NA,PENNSYLVANIA,domestic,40.7559249,-73.8240777
ABRAM COX STOVE COMPANY,ACTIVE,10178,NA,12/05/1895,NA,PENNSYLVANIA,domestic,40.7510553,-73.97775159999999
PORTER & GILMOUR INCORPORATED,ACTIVE,10005,NA,01/06/1896,NA,NEW JERSEY,domestic,40.708998,-74.009654
THE BRIGHTON LAND COMPANY,ACTIVE,10035,NA,01/22/1896,NA,NEW JERSEY,domestic,40.804582,-73.93862000000001
THE DERBY LUMBER CO.,ACTIVE,10038,NA,01/22/1896,NA,CONNECTICUT,domestic,40.7114436,-74.00674529999999
THE AMERICAN TRIMMINGS SYNDICATE,ACTIVE,10012,NA,01/25/1896,NA,NEW JERSEY,domestic,40.7258743,-73.9964087
THE WALLACE MYERS COMPANY,ACTIVE,10038,NA,02/09/1896,NA,NEW JERSEY,domestic,40.7079452,-74.00151509999999
KINGS COUNTY ELECTRIC LIGHT AND POWER COMPANY,ACTIVE,11201,NA,02/10/1896,NA,NEW JERSEY,domestic,40.69343629999999,-73.99058699999999
THE SUGAR APPARATUS MANUFACTURING COMPANY,ACTIVE,10023,NA,10/15/1897,NA,PENNSYLVANIA,domestic,40.780441,-73.98249899999999
HENSEL SILK MANUFACTURING COMPANY,ACTIVE,10013,NA,02/21/1896,NA,PENNSYLVANIA,domestic,40.7164167,-74.00444449999999
THE CRESCENT WATCH CASE COMPANY,ACTIVE,10038,NA,02/25/1896,NA,NEW JERSEY,domestic,40.7093658,-74.0090051
DERBY DESK COMPANY,ACTIVE,10038,NA,02/25/1896,NA,MAINE,domestic,40.7105052,-74.008213
THE PITCH PINE LUMBER COMPANY,ACTIVE,10005,NA,02/29/1896,NA,NEW JERSEY,domestic,40.7051227,-74.01001029999999
LAVERY COLLINS & CO.,ACTIVE,10007,NA,03/02/1896,NA,NEW JERSEY,domestic,40.7103512,-74.01114600000001
LA PIERRE MANUFACTURING COMPANY,ACTIVE,10005,NA,03/23/1896,NA,NEW JERSEY,domestic,40.7074848,-74.0098933
CLINTON IRON AND STEEL COMPANY,ACTIVE,10007,NA,03/26/1896,NA,PENNSYLVANIA,domestic,40.7101124,-74.01062739999999
